Idade;Sexo;Renda_Men;Obt_info;Forma_diver;Possuir_acessar;Comp_on_pres;Temp_med;Meio_pagamento;Freq_comp_on;Comp_por_rec;Disp_p_comp_on;Valor_med_gasto;Facilidade_nav;Comp_preco;Satisfeito_compra_on;Seg_com_on;Sust_com_on;Crit_comp_on;
58;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Indiferente;Loja Física;1;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Celular;500;Concordo totalmente;Concordo em parte;Concordo totalmente;Nem concordo e nem discordo;Nem concordo e nem discordo;Qualidade do produto;
67;Masculino;acima de R$ 10.000;TV aberta;Televisão;Mais possuir do que apenas acessar;Loja Física;1;Cartão de crédito/débito físico;Raramente (Anual);Sim;Celular;50;Concordo em parte;Concordo em parte;Nem concordo e nem discordo;Concordo em parte;Concordo em parte;Reputação da loja/site;
42;Feminino;de R$ 2.001 a R$ 5.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);4;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Celular;500;Concordo em parte;Concordo em parte;Concordo em parte;Discordo em parte;Concordo em parte;Avaliação dos outros compradores;
57;Feminino;acima de R$ 10.000;TV aberta;Redes Sociais;Só possuir;Loja Física;2;Pix;Sempre (Semanal);Sim;Celular;600;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo em parte;Nem concordo e nem discordo;Preço;
65;Masculino;acima de R$ 10.000;Redes Sociais;Eventos presenciais;Mais acessar do que possuir;Loja Física;3;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Celular;1300;Discorto em parte;Concordo totalmente;Nem concordo e nem discordo;Discordo em parte;Concordo totalmente;Qualidade do produto;
52;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Física;2;Cartão de crédito/débito físico;Às vezes (Semestral);Sim;Celular;100;Concordo em parte;Concordo totalmente;Concordo em parte;Discordo em parte;Nem concordo e nem discordo;Avaliação dos outros compradores;
58;Feminino;de R$ 5.001 a R$ 10.000;Redes Sociais;Eventos presenciais;Mais possuir do que apenas acessar;Loja Física;3;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Computador;100;Concordo em parte;Concordo em parte;Concordo em parte;Discordo totamente;Concordo em parte;Atendimento pós-venda;
56;Masculino;acima de R$ 10.000;Sites online (internet);Televisão;Só possuir;Loja Virtual (Internet);2;Carteira Digital (cartão no celular);Frequentemente (Mensal);Sim;Celular;200;Concordo em parte;Concordo totalmente;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Qualidade do produto;
58;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Indiferente;Loja Virtual (Internet);1;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Tablet;200;Nem concordo e nem discordo;Concordo totalmente;Concordo em parte;Concordo em parte;Nem concordo e nem discordo;Qualidade do produto;
57;Masculino;acima de R$ 10.000;Redes Sociais;Eventos presenciais;Só possuir;Loja Virtual (Internet);2;Carteira Digital (cartão no celular);Frequentemente (Mensal);Sim;Celular;300;Concordo em parte;Concordo totalmente;Concordo em parte;Discordo em parte;Nem concordo e nem discordo;Qualidade do produto;
56;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);1;Cartão de crédito/débito físico;Às vezes (Semestral);Não;Celular;1000;Concordo em parte;Concordo em parte;Concordo em parte;Concordo em parte;Concordo em parte;Qualidade do produto;
56;Feminino;Até R$ 2.000,00;Sites online (internet);Redes Sociais;Mais possuir do que apenas acessar;Loja Virtual (Internet);3;Pix;Sempre (Semanal);Não;Celular;50;Nem concordo e nem discordo;Concordo totalmente;Concordo totalmente;Discordo em parte;Concordo totalmente;Frete grátis;
56;Feminino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Física;5;Carteira Digital (cartão no celular);Às vezes (Semestral);Sim;Celular;200;Concordo em parte;Concordo totalmente;Concordo em parte;Concordo em parte;Discordo em parte;Avaliação dos outros compradores;
58;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais acessar do que possuir;Loja Virtual (Internet);1;Carteira Digital (cartão no celular);Sempre (Semanal);Sim;Celular;250;Concordo em parte;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo totalmente;Outro;
57;Feminino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Física;4;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Celular;1000;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Discordo em parte;Nem concordo e nem discordo;Avaliação dos outros compradores;
